exp_tag,gpu,minutos,compute_units,n_train,n_val,cer_beam,wer_beam,error,nombre,n_sessions,max_epoch,warmup,val_igual_train,frontend,unfreeze_encoder,unfreeze_n_layers,usar_lora,batch_type,batch_size,batch_bins,accum_grad,lr,enc_lr_scale,weight_decay,grad_clip,ctc_weight,ctc_weight_decode,seed,num_workers,epocas_hechas,best_valid_loss_ctc,best_valid_cer_ctc,best_valid_loss_att,best_valid_acc,best_valid_cer,best_valid_wer,best_valid_loss,best_valid_gpu_max_cached_mem_GB,best_epoch,n_sesiones,batch_usado,cer_ctc_greedy,wer_ctc_greedy,capa_sesion,norm,cer_ctc_micro,criterio,min_valid_cer_ctc,epoch_min_cer_ctc,pendiente_cer_ctc,objetivo_ctc,deep_dim,deep_bloques,deep_kernel,deep_dropout,subsample,interctc_weight,interctc_layers,best_valid_loss_interctc_layer2,best_valid_cer_interctc_layer2,best_valid_loss_interctc_layer4,best_valid_cer_interctc_layer4,aug,aug_n_tiempo,aug_max_tiempo,aug_n_canales,aug_max_canales,aug_ruido,optim,aug_offset,suavizado,patience,patience_start_epoch
conSesion_n10_linear_sess_unf1_lora1_lr0.001_els0.01_ctc0.3_bs16_ep30,NVIDIA L4,59.4,1.69,2296,392,0.7961205145683775,1.1289444444444443,,conSesion,10,30,100,False,linear,True,,True,sorted,16,6000000,1,0.001,0.01,1e-06,5.0,0.3,,2024,0,30.0,49.311,0.989,31.869,0.553,0.357,1.0,37.102,21.779,5.0,10.0,16.0,0.9958623082783156,0.9977777777777778,True,trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gen1_n1_linear_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,NVIDIA L4,51.0,1.45,348,35,,,,gen1,1,200,50,False,linear,True,,True,sorted,16,6000000,1,0.001,1.0,1e-06,5.0,1.0,,2024,0,200.0,48.928,1.0,,,,,48.928,12.029,1.0,1.0,16.0,0.7951700773629164,0.9698412698412698,False,trial,0.7685433422698839,cer_ctc,0.753,200.0,-0.0009030303030303,,,,,,,,,,,,,,,,,,,,,,,
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,NVIDIA L4,25.7,0.73,348,348,,,interrumpido,charOverfit,1,200,50,True,linear,True,,True,sorted,16,6000000,1,0.001,1.0,1e-06,5.0,1.0,,2024,0,75.0,3.679,0.052,,,,,3.679,4.291,75.0,1.0,16.0,0.4509935155341459,0.7791904761904763,False,trial,0.4619758351101635,cer_ctc,0.052,75.0,-0.0034666666666666,char,,,,,,,,,,,,,,,,,,,,,,
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep200,NVIDIA L4,0.1,0.0,348,35,,,interrumpido,charGen1,1,200,50,False,linear,True,,True,sorted,16,6000000,1,0.001,1.0,1e-06,5.0,1.0,,2024,0,,,,,,,,,,,1.0,16.0,,,False,trial,,cer_ctc,,,,char,,,,,,,,,,,,,,,,,,,,,,
charOverfit_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep50,NVIDIA L4,17.3,0.49,348,348,,,,charOverfit,1,50,50,True,linear,True,,True,sorted,16,6000000,1,0.001,1.0,1e-06,5.0,1.0,,2024,0,50.0,13.976,0.231,,,,,13.976,4.291,50.0,1.0,16.0,0.5371491764693882,0.8868174603174603,False,trial,0.5387348969438521,cer_ctc,0.231,50.0,-0.0185454545454545,char,,,,,,,,,,,,,,,,,,,,,,
charGen1_n1_linear_char_unf1_lora1_lr0.001_els1_ctc1_bs16_ep150,NVIDIA L4,34.8,0.99,348,35,,,,charGen1,1,150,50,False,linear,True,,True,sorted,16,6000000,1,0.001,1.0,1e-06,5.0,1.0,,2024,0,150.0,87.43,0.939,,,,,87.43,4.291,19.0,1.0,16.0,0.7342335711995206,0.9728571428571428,False,trial,0.7250922509225092,cer_ctc,0.784,68.0,-0.0001636363636363,char,,,,,,,,,,,,,,,,,,,,,,
fullCon_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep25,NVIDIA L4,133.1,3.79,7051,1426,,,,fullCon,45,25,1000,False,linear,True,,True,sorted,32,6000000,1,0.001,1.0,1e-06,5.0,1.0,,2024,0,25.0,84.117,0.875,,,,,84.117,21.775,23.0,41.0,32.0,0.7213105282318497,1.1938961038961038,True,trial,0.7205428747686613,cer_ctc,0.817,12.0,0.0006424242424242,char,,,,,,,,,,,,,,,,,,,,,,
fullCon2_n45_linear_sess_char_unf1_lora1_lr0.001_els1_ctc1_bs32_ep100,NVIDIA L4,521.0,14.85,7051,1390,,,,fullCon2,45,100,2500,False,linear,True,,True,sorted,32,6000000,1,0.001,1.0,1e-06,5.0,1.0,,2024,0,100.0,84.351,0.882,,,,,84.351,21.785,62.0,41.0,32.0,0.8376746168301149,1.0,True,trial,0.8375900458415193,cer_ctc,0.828,10.0,-0.0007151515151514,char,,,,,,,,,,,,,,,,,,,,,,
c1d_n45_conv1d_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,NVIDIA L4,168.9,4.81,7051,1426,,,,c1d,45,30,800,False,conv1d,True,,True,sorted,32,6000000,1,0.001,0.01,1e-06,5.0,1.0,,2024,0,30.0,83.916,0.826,,,,,83.916,21.748,11.0,41.0,32.0,0.7141646859980137,1.2048571428571428,True,trial,0.7137569401603948,cer_ctc,0.804,29.0,-0.0039999999999999,char,,,,,,,,,,,,,,,,,,,,,,
lrdif_n45_linear_sess_char_unf1_lora1_lr0.001_els0.01_ctc1_bs32_ep30,NVIDIA L4,163.8,4.67,7051,1426,,,,lrdif,45,30,800,False,linear,True,,True,sorted,32,6000000,1,0.001,0.01,1e-06,5.0,1.0,,2024,0,30.0,81.805,0.87,,,,,81.805,21.775,28.0,41.0,32.0,0.7457971462215502,1.108095238095238,True,trial,0.7476866132017274,cer_ctc,0.856,16.0,-0.0013939393939394,char,,,,,,,,,,,,,,,,,,,,,,
deep_n45_deepd512b2s4_ic0.3_sess_char_unf1_lora1_lr0.001_els0.05_ctc1_bs32_ep150,NVIDIA L4,584.8,16.67,8072,1426,,,interrumpido,deep,45,150,2000,False,deep,True,,True,sorted,32,6000000,1,0.001,0.05,1e-06,5.0,1.0,,2024,0,90.0,54.594,0.55,,,,,59.108,21.777,56.0,45.0,32.0,0.4314536305704951,0.71502886002886,True,trial,0.4373843306600863,cer_ctc,0.514,86.0,0.0002,char,512.0,2.0,5.0,0.1,4.0,0.3,"(2, 4)",57.133,0.602,82.147,0.816,,,,,,,,,,,
v2_n45_deepd512b2s2_ic0.3_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep45,NVIDIA L4,306.2,8.73,8072,1426,,,,v2,45,45,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,25.0,1.0,,2024,0,45.0,62.379,0.479,,,,,73.709,21.777,27.0,45.0,16.0,0.395745055896523,0.6748198051948051,True,ninguna,0.4016027122823239,cer_ctc,0.455,43.0,-0.0009333333333333,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",100.145,0.862,,,False,2.0,0.05,2.0,40.0,0.0,adamw,,,,
v3_n45_deepd512b2s2_ic0.3_augn0.5o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,NVIDIA L4,310.7,8.86,8072,1426,,,,v3,45,60,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,38.0,43.106,0.434,,,,,43.946,21.777,25.0,45.0,16.0,0.324702600768268,0.6315651154401154,True,ninguna,0.332871012482663,cer_ctc,0.381,37.0,-0.0035272727272727,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",45.907,0.504,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,0.0,12.0,
v4_n45_deepd512b2s2_ic0.3_augn0.8o0.2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep100,NVIDIA L4,340.6,9.71,8072,1426,,,interrumpido,v4,45,100,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,42.0,53.169,0.594,,,,,65.268,21.777,38.0,45.0,16.0,0.501665569436748,0.790443362193362,True,ninguna,0.504546155031592,cer_ctc,0.577,41.0,-0.004830303030303,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",93.498,0.925,,,True,2.0,0.05,2.0,20.0,0.8,adamw,0.2,0.0,12.0,
v5_n45_deepd512b2s2_ic0.3_augn0.5o0.2_sm2_wd0.01_sess_char_unf1_lora0_lr0.001_els0.05_ctc1_bs16_ep60,NVIDIA L4,531.6,15.15,8072,1426,,,,v5,45,60,1500,False,deep,True,,False,sorted,16,6000000,2,0.001,0.05,0.01,100.0,1.0,,2024,0,60.0,38.856,0.367,,,,,52.398,21.777,55.0,45.0,16.0,0.313651896688812,0.584330266955267,True,ninguna,0.31853906611188165,cer_ctc,0.362,60.0,-0.0012121212121212006,char,512.0,2.0,5.0,0.1,2.0,0.3,"(2,)",83.996,0.868,,,True,2.0,0.05,2.0,20.0,0.5,adamw,0.2,2.0,12.0,15.0
